DOB_WK,"Total","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
"DOB_TT",
"0625",1949,265,273,260,317,283,296,255
"0626",1866,217,242,279,268,283,292,285
"0627",1832,229,210,278,265,282,286,282
"0628",1807,229,233,267,305,278,258,237
"0629",1864,240,246,277,273,296,289,243
"0630",2101,226,284,305,336,331,323,296
"0631",1770,224,222,265,278,287,236,258
"0632",1844,227,253,291,296,257,269,251
"0633",1782,217,220,285,275,258,289,238
"0634",1874,199,254,301,312,285,294,229
"0635",1984,233,233,317,324,307,282,288
"0636",1864,220,270,290,279,279,286,240
"0637",1821,221,231,283,302,260,270,254
"0638",1757,212,232,290,286,236,266,235
"0639",1810,210,234,275,298,257,274,262
"0640",1981,213,246,301,330,274,320,297
"0641",1749,224,243,247,288,249,260,238
"0642",1867,239,259,281,273,254,322,239
"0643",1828,225,229,293,274,252,272,283
"0644",1830,201,245,291,287,271,254,281
"0645",2012,250,273,278,311,308,313,279
"0646",1901,232,253,288,301,262,305,260
"0647",1851,229,222,262,291,260,311,276
"0648",1861,239,225,259,339,258,281,260
"0649",1741,217,221,267,254,265,288,229
"0650",1913,223,280,267,289,286,294,274
"0651",1778,200,233,280,265,285,269,246
"0652",1839,235,229,285,278,287,281,244
"0653",1858,238,251,287,279,256,287,260
"0654",1815,217,251,305,271,264,256,251
"0655",1941,220,232,339,299,285,311,255
"0656",1802,203,246,286,279,292,264,232
"0657",1841,218,246,292,279,276,277,253
"0658",1865,218,265,298,302,269,283,230
"0659",1849,209,247,299,289,298,281,226
"0700",2074,234,299,314,314,318,313,282
"0701",1778,209,245,290,290,250,273,221
"0702",1856,208,258,268,294,277,308,243
"0703",1795,221,241,244,273,301,270,245
"0704",1793,206,251,272,289,266,278,231
"0705",1989,237,270,311,304,277,313,277
"0706",1862,194,255,322,292,269,288,242
"0707",1883,214,264,284,312,254,304,251
"0708",1919,215,273,301,305,282,304,239
"0709",1797,213,239,281,268,276,291,229
"0710",2022,258,276,297,311,287,339,254
"0711",1911,233,292,293,269,267,327,230
"0712",1902,199,262,332,295,281,308,225
"0713",1940,214,272,309,324,275,303,243
"0714",2051,205,291,331,354,330,321,219
"0715",2194,245,330,354,337,348,312,268
"0716",1966,238,279,335,295,303,290,226
"0717",2175,237,339,330,323,355,348,243
"0718",2075,234,311,337,347,317,306,223
"0719",2072,192,289,382,350,311,307,241
"0720",2306,245,342,375,388,357,357,242
"0721",2227,227,342,386,350,323,345,254
"0722",2233,230,328,323,374,358,376,244
"0723",2196,209,311,405,376,317,341,237
"0724",2356,237,375,396,375,373,369,231
"0725",2453,250,384,419,357,370,419,254
"0726",2394,236,379,394,363,387,392,243
"0727",2432,223,356,414,402,380,418,239
"0728",2404,207,367,396,363,392,423,256
"0729",2378,189,346,424,401,367,380,271
"0730",2729,244,407,484,447,425,460,262
"0731",2485,215,407,425,418,373,410,237
"0732",2601,231,430,414,426,402,431,267
"0733",2597,232,431,435,434,407,419,239
"0734",2703,240,463,440,436,434,452,238
"0735",2968,245,494,485,535,479,457,273
"0736",2777,236,491,483,448,396,472,251
"0737",2992,236,513,505,503,464,495,276
"0738",2973,241,504,495,493,464,515,261
"0739",2975,248,514,471,493,487,503,259
"0740",3297,241,545,570,576,538,544,283
"0741",3124,240,538,528,533,532,501,252
"0742",3271,205,569,560,514,544,600,279
"0743",3429,233,606,596,586,538,578,292
"0744",3566,241,620,639,568,588,624,286
"0745",3965,256,674,668,691,590,755,331
"0746",3632,260,636,633,573,584,663,283
"0747",4003,266,746,686,666,623,721,295
"0748",3947,233,679,692,692,654,746,251
"0749",4106,251,758,733,672,686,720,286
"0750",4463,284,822,810,704,737,815,291
"0751",4379,251,812,773,740,741,791,271
"0752",4586,249,833,850,758,742,848,306
"0753",4578,261,843,871,790,695,830,288
"0754",4967,275,943,927,822,787,902,311
"0755",5049,259,929,915,858,843,940,305
"0756",5079,284,915,929,833,855,944,319
"0757",4912,272,858,880,837,798,961,306
"0758",5264,289,947,973,928,857,953,317
"0759",5345,257,976,999,893,859,1026,335
"0800",5778,281,1065,1053,1001,944,1094,340
"0801",5186,281,968,947,904,762,1012,312
"0802",5369,274,1056,989,910,826,990,324
"0803",5300,259,944,961,921,910,986,319
"0804",5319,295,975,939,923,823,1033,331
"0805",5519,313,1054,964,968,860,992,368
"0806",5299,276,968,961,899,875,991,329
"0807",5131,259,910,922,875,890,950,325
"0808",5011,243,975,894,805,851,934,309
"0809",4852,247,868,920,804,805,873,335
"0810",5099,287,914,922,884,856,883,353
"0811",4757,273,823,865,859,764,834,339
"0812",4729,274,886,819,765,774,905,306
"0813",4445,264,839,788,726,679,859,290
"0814",4537,248,831,842,761,729,821,305
"0815",4680,316,788,829,790,775,821,361
"0816",4406,272,791,759,739,739,776,330
"0817",4333,261,767,773,712,684,776,360
"0818",4170,269,783,681,731,675,697,334
"0819",4162,234,767,759,700,658,755,289
"0820",4481,315,822,776,796,668,757,347
"0821",4198,308,744,720,660,697,716,353
"0822",4074,268,733,708,675,686,693,311
"0823",4039,248,712,733,682,661,693,310
"0824",4085,285,720,726,633,671,707,343
"0825",4187,280,695,763,722,673,732,322
"0826",4040,312,709,698,693,608,681,339
"0827",4005,267,702,696,689,623,685,343
"0828",3799,289,659,636,614,644,634,323
"0829",3796,261,669,634,623,609,644,356
"0830",4249,322,721,706,689,680,736,395
"0831",3909,316,642,687,630,586,711,337
"0832",3832,282,675,639,615,634,645,342
"0833",3613,278,621,629,585,572,603,325
"0834",3726,247,632,661,578,613,653,342
"0835",3792,310,650,705,621,559,609,338
"0836",3705,270,639,632,612,562,652,338
"0837",3671,286,641,649,612,611,556,316
"0838",3630,316,599,618,590,567,574,366
"0839",3571,306,602,633,540,548,637,305
"0840",3734,289,597,634,635,581,625,373
"0841",3511,281,596,570,562,590,591,321
"0842",3412,288,554,559,524,568,570,349
"0843",3423,292,563,590,563,543,561,311
"0844",3434,276,573,573,510,560,605,337
"0845",3605,292,598,590,615,563,590,357
"0846",3458,278,552,579,545,573,571,360
"0847",3333,270,576,552,510,547,534,344
"0848",3450,284,552,604,543,563,536,368
"0849",3311,301,534,543,544,509,561,319
"0850",3478,277,567,619,541,571,573,330
"0851",3323,283,553,538,547,504,563,335
"0852",3295,316,528,571,523,537,513,307
"0853",3271,267,522,547,504,541,573,317
"0854",3277,273,526,541,470,544,553,370
"0855",3350,294,489,589,531,535,582,330
"0856",3309,267,540,572,532,513,535,350
"0857",3176,291,508,520,512,494,527,324
"0858",3185,304,512,521,514,493,510,331
"0859",3264,323,494,529,544,497,535,342
"0900",3533,317,556,573,589,537,608,353
"0901",3020,261,475,497,493,468,516,310
"0902",3266,299,526,546,541,523,505,326
"0903",3125,258,453,533,502,505,534,340
"0904",3179,286,488,556,521,515,506,307
"0905",3297,301,556,505,602,503,515,315
"0906",3172,287,459,536,536,511,522,321
"0907",3167,318,508,489,516,495,514,327
"0908",3163,299,504,516,508,499,484,353
"0909",3098,283,478,509,512,495,491,330
"0910",3302,321,526,554,547,497,495,362
"0911",3005,274,492,501,501,469,466,302
"0912",3143,309,493,542,509,461,500,329
"0913",2996,281,474,485,495,472,462,327
"0914",3097,283,462,501,499,550,478,324
"0915",3294,286,509,553,560,562,500,324
"0916",3221,324,497,534,504,524,516,322
"0917",3126,292,500,510,505,476,506,337
"0918",3122,303,524,501,490,513,462,329
"0919",3099,280,459,524,495,484,513,344
"0920",3233,293,525,537,519,477,544,338
"0921",3205,307,475,500,545,518,507,353
"0922",3157,274,513,505,498,493,533,341
"0923",3112,282,496,481,524,464,544,321
"0924",3180,268,483,534,503,491,539,362
"0925",3312,309,489,568,518,515,533,380
"0926",3146,280,501,535,509,481,523,317
"0927",3157,297,512,523,512,490,495,328
"0928",3157,292,442,543,498,471,563,348
"0929",3206,307,495,527,515,491,508,363
"0930",3563,328,551,548,611,549,568,408
"0931",3258,312,541,511,541,487,482,384
"0932",3387,334,516,538,579,538,534,348
"0933",3137,291,495,501,508,483,483,376
"0934",3191,307,489,518,511,466,522,378
"0935",3340,291,553,513,543,525,517,398
"0936",3244,293,513,511,506,515,516,390
"0937",3238,309,502,552,504,486,542,343
"0938",3258,302,518,544,549,495,504,346
"0939",3150,293,499,524,528,471,536,299
"0940",3490,358,513,625,548,491,568,387
"0941",3155,275,484,489,538,495,534,340
"0942",3181,282,464,555,530,488,480,382
"0943",3113,313,462,515,473,507,482,361
"0944",3200,328,479,514,517,484,518,360
"0945",3384,337,544,535,515,548,529,376
"0946",3149,283,486,520,510,474,533,343
"0947",3311,316,494,578,560,511,496,356
"0948",3235,305,534,546,503,502,491,354
"0949",3215,305,481,533,521,521,530,324
"0950",3314,341,480,543,536,512,542,360
"0951",3246,318,527,553,526,482,483,357
"0952",3248,311,502,563,561,483,494,334
"0953",3096,261,485,525,492,458,516,359
"0954",3211,303,546,516,534,478,501,333
"0955",3270,302,516,556,505,497,560,334
"0956",3216,313,510,540,510,510,505,328
"0957",3181,302,503,550,481,527,503,315
"0958",3118,282,479,497,505,477,515,363
"0959",3324,323,497,568,500,510,560,366
"1000",3477,339,516,594,539,561,565,363
"1001",3197,299,559,509,498,505,494,333
"1002",3269,304,459,581,534,488,539,364
"1003",3202,305,520,544,518,483,488,344
"1004",3223,295,500,528,529,465,530,376
"1005",3312,318,485,560,544,512,533,360
"1006",3216,285,509,518,550,472,537,345
"1007",3271,311,527,569,526,486,501,351
"1008",3299,329,504,526,518,545,514,363
"1009",3076,298,482,534,493,478,467,324
"1010",3522,311,540,580,550,554,600,387
"1011",3147,284,507,531,481,438,530,376
"1012",3247,311,523,549,521,497,515,331
"1013",3170,283,507,574,514,475,487,330
"1014",3236,301,484,555,544,488,507,357
"1015",3430,359,501,571,550,544,521,384
"1016",3133,314,529,515,497,465,479,334
"1017",3134,287,490,521,448,537,514,337
"1018",3210,315,515,515,505,495,495,370
"1019",3041,292,476,499,519,459,461,335
"1020",3350,324,498,537,574,515,547,355
"1021",3155,282,486,540,499,504,501,343
"1022",3187,306,513,535,501,473,512,347
"1023",3181,314,512,528,520,461,474,372
"1024",3289,324,500,546,550,510,534,325
"1025",3369,313,522,536,519,523,567,389
"1026",3135,272,489,569,506,491,451,357
"1027",3211,288,527,521,478,523,534,340
"1028",3153,296,510,548,466,486,490,357
"1029",3147,310,515,492,475,512,516,327
"1030",3542,358,560,566,564,536,576,382
"1031",3181,319,505,476,523,518,499,341
"1032",3204,303,522,533,502,496,497,351
"1033",3201,290,522,505,515,478,541,350
"1034",3130,330,475,528,488,481,497,331
"1035",3343,335,503,539,575,510,497,384
"1036",3157,322,533,523,490,466,462,361
"1037",3205,349,488,516,510,517,503,322
"1038",3163,285,513,540,482,524,472,347
"1039",3097,296,498,500,500,435,548,320
"1040",3331,326,514,570,494,525,545,357
"1041",3070,318,483,491,486,457,512,323
"1042",3173,283,478,557,519,505,481,350
"1043",3042,274,474,507,512,471,470,334
"1044",3132,291,485,518,498,496,499,345
"1045",3335,336,534,557,557,491,496,364
"1046",3097,308,498,487,506,461,482,355
"1047",3164,286,475,535,492,482,525,369
"1048",3181,293,514,542,511,465,523,333
"1049",3135,298,503,513,496,491,499,335
"1050",3226,347,479,530,502,488,536,344
"1051",3121,296,460,496,505,487,509,368
"1052",3044,310,442,504,508,480,502,298
"1053",3039,300,483,493,471,475,485,332
"1054",3143,311,501,507,459,500,529,336
"1055",3233,302,466,540,545,507,518,355
"1056",3107,307,459,528,497,467,502,347
"1057",3054,322,458,515,512,486,450,311
