DOB_WK,"Total","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
"DOB_TT",
"0437",68,5,2,19,8,9,12,13
"0438",70,6,7,17,12,11,9,8
"0439",69,3,10,11,9,14,10,12
"0440",75,4,6,8,15,14,18,10
"0441",71,3,7,6,18,11,15,11
"0442",65,5,11,12,9,10,10,8
"0443",63,10,5,9,10,13,11,5
"0444",54,5,3,8,12,11,8,7
"0445",78,6,3,17,16,9,15,12
"0446",68,7,4,15,11,15,5,11
"0447",62,4,2,11,10,15,11,9
"0448",66,6,4,10,13,12,16,5
"0449",67,9,7,8,9,10,9,15
"0450",79,6,13,8,12,12,16,12
"0451",75,12,5,10,13,9,15,11
"0452",51,4,8,13,9,4,6,7
"0453",60,3,7,6,15,5,13,11
"0454",51,6,2,11,11,10,6,5
"0455",66,5,3,13,15,10,12,8
"0456",57,2,5,15,7,10,9,9
"0457",69,6,6,5,14,11,20,7
"0458",58,4,3,11,6,9,11,14
"0459",80,6,5,13,16,11,15,14
"0500",74,6,7,10,18,15,8,10
"0501",64,4,4,5,18,11,10,12
"0502",56,4,6,13,12,9,7,5
"0503",64,3,6,12,15,8,8,12
"0504",68,10,4,9,15,11,10,9
"0505",79,11,2,13,9,11,14,19
"0506",60,10,7,7,5,14,11,6
"0507",73,6,5,17,15,16,8,6
"0508",65,6,6,14,7,9,15,8
"0509",68,5,8,13,12,7,10,13
"0510",82,6,13,14,18,12,12,7
"0511",72,6,6,17,14,9,12,8
"0512",64,7,5,5,14,14,7,12
"0513",62,9,4,12,13,7,10,7
"0514",65,5,13,8,11,8,7,13
"0515",58,7,4,10,5,15,10,7
"0516",64,8,4,5,9,13,14,11
"0517",66,5,10,8,14,9,14,6
"0518",79,12,3,8,20,10,9,17
"0519",61,3,4,9,11,9,11,14
"0520",85,6,7,17,18,20,12,5
"0521",78,7,7,12,18,13,12,9
"0522",72,9,6,12,13,9,11,12
"0523",62,6,5,9,12,9,15,6
"0524",72,6,5,11,17,13,13,7
"0525",64,8,3,10,8,9,14,12
"0526",62,7,3,10,11,7,12,12
"0527",71,8,4,14,16,9,9,11
"0528",80,8,4,12,10,17,8,21
"0529",76,10,4,8,20,15,13,6
"0530",72,4,5,11,18,12,11,11
"0531",74,12,8,14,5,13,12,10
"0532",68,13,5,11,9,8,16,6
